,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_title,Country,duration_in_minutes,puplished_day,published_in_weekend
0,p9zTSvEpt_8,2018-02-05,2007-06-25,98981,615,12,138,False,False,Music,GB,5,Monday,False
1,-37nIo_tLnk,2018-01-02,2009-12-15,3170,4,0,1,False,False,Sports,US,1,Tuesday,False
2,K9kVsnTQh-g,2018-01-27,2010-05-11,73902,261,55,96,False,False,Science & Technology,US,2,Tuesday,False
6,GDUncuEErzQ,2017-12-07,2012-12-10,7753,29,3,3,False,False,Education,US,4,Monday,False
8,W_pH4u5-NhE,2017-12-08,2013-09-08,5682,21,2,0,False,False,Comedy,US,1,Sunday,True
9,_OkxKKsL2u8,2018-01-01,2014-01-12,146885,844,52,59,False,False,Comedy,CA,1,Sunday,True
10,maU5rLgMvWI,2018-01-31,2014-01-29,54824,266,9,11,False,False,Music,DE,3,Wednesday,False
11,F6rBIWN8SsM,2017-11-20,2015-03-10,193184,887,66,438,False,False,Comedy,GB,1,Tuesday,False
12,j9n7Boia0po,2017-12-26,2016-05-21,10655,17,0,6,False,False,Sports,US,2,Saturday,True
13,qXWIxiwNhqY,2018-02-24,2016-08-03,16764,3,13,1,False,False,Entertainment,DE,1,Wednesday,False
14,s46-P2saFBU,2017-12-22,2016-11-09,203072,45,33,2,False,False,Entertainment,CA,1,Wednesday,False
15,cHsEHPH1v6o,2017-12-17,2017-03-16,11696,205,0,0,False,False,People & Blogs,RU,1,Thursday,False
17,0mlNzVSJrT0,2017-11-17,2017-04-21,122634,2908,210,595,False,False,People & Blogs,US,1,Friday,False
18,KtNqf5NqBf8,2018-02-22,2017-05-22,2214,10,11,5,False,False,Comedy,RU,1,Monday,False
19,eQPoVNrCZTk,2018-02-04,2017-05-25,18543,173,1,26,False,False,Music,GB,7,Thursday,False
20,Vms4alnZo5s,2017-12-28,2017-06-23,23385,825,9,0,True,False,People & Blogs,RU,1,Friday,False
22,9SwP6eoBcko,2018-02-13,2017-08-01,265854,1510,2477,0,True,False,People & Blogs,RU,5,Tuesday,False
25,mqf0f1h8ZTU,2018-01-28,2017-10-20,2078,4,0,0,False,False,Sports,US,1,Friday,False
26,oj8JK6c5x3M,2018-01-16,2017-10-31,174836,8763,185,1892,False,False,Entertainment,GB,4,Tuesday,False
27,bCznvAkpwWs,2017-11-15,2017-11-03,45036,689,19,0,False,False,Film & Animation,GB,1,Friday,False
28,Plh2sfrbdlc,2017-11-15,2017-11-03,205177,14099,95,1125,False,False,Entertainment,GB,7,Friday,False
29,1eS_17CG9sk,2017-11-14,2017-11-05,64691,5540,42,954,False,False,People & Blogs,GB,11,Sunday,True
31,bRlXatOvsZU,2017-11-18,2017-11-06,108081,2352,419,92,False,False,Music,GB,4,Monday,False
32,kGOmPmILndU,2017-11-15,2017-11-07,1500067,65867,1836,5638,False,False,Music,GB,3,Tuesday,False
33,nshmwFK3yd8,2017-11-17,2017-11-07,138991,10009,17,306,False,False,Entertainment,GB,3,Tuesday,False
34,6jV798JxoTY,2017-11-19,2017-11-07,67113,3870,80,516,False,False,People & Blogs,GB,26,Tuesday,False
35,vht9VHo8r5c,2017-11-15,2017-11-07,1153057,26074,479,942,False,False,Entertainment,GB,7,Tuesday,False
36,v3nuxG2Q6Ew,2017-11-14,2017-11-08,662980,18875,2323,3995,False,False,Entertainment,IN,1,Wednesday,False
37,x8eLIJAM58M,2017-11-14,2017-11-08,812007,5894,951,851,False,False,Entertainment,US,2,Wednesday,False
38,l9nGCJlDclQ,2017-11-18,2017-11-08,55572,191,191,83,False,False,Entertainment,GB,7,Wednesday,False
40,3iXwXYflCSI,2017-11-19,2017-11-09,11619,856,17,198,False,False,Comedy,GB,8,Thursday,False
41,Rq9-mW6HgQE,2017-11-15,2017-11-09,908489,12261,339,1600,False,False,Entertainment,US,7,Thursday,False
42,fCTKDn3Q8xQ,2017-11-15,2017-11-09,1185773,45513,1378,4794,False,False,People & Blogs,US,4,Thursday,False
43,J_QGZspO4gg,2017-11-15,2017-11-09,1882868,88072,1219,6083,False,False,Music,US,3,Thursday,False
44,BEweWXa5Twk,2017-11-14,2017-11-09,471266,23634,460,1714,False,False,Howto & Style,US,13,Thursday,False
45,JuP1Z8xpRb8,2017-11-14,2017-11-09,27010,1666,36,150,False,False,Entertainment,US,4,Thursday,False
46,YHDbsyyjld0,2017-11-14,2017-11-09,46571,4250,16,408,False,False,Pets & Animals,US,5,Thursday,False
47,QldBP574S4I,2017-11-14,2017-11-09,35401,1309,27,39,False,False,Music,CA,4,Thursday,False
48,SOH10kDZtqU,2017-11-14,2017-11-09,105477,3150,26,309,False,False,People & Blogs,KR,3,Thursday,False
49,pz95u3UVpaM,2017-11-14,2017-11-10,5476737,286268,4083,12254,False,False,Music,US,4,Friday,False
50,htvR_dBs3eg,2017-11-14,2017-11-10,98422,2926,106,798,False,False,Music,US,6,Friday,False
51,exMNBvwCfRY,2017-11-14,2017-11-10,3641421,218587,5809,12649,False,False,Comedy,FR,11,Friday,False
52,2urX1QwMgNI,2017-11-14,2017-11-10,40916,227,1,27,False,False,Entertainment,FR,132,Friday,False
53,ulduUfiTV7M,2017-11-14,2017-11-11,226051,1376,112,144,False,False,Entertainment,CA,45,Saturday,True
54,2ztjIfgquRU,2017-11-14,2017-11-11,108622,2864,34,110,False,False,Autos & Vehicles,DE,5,Saturday,True
55,D1z2sKcSsfY,2017-11-14,2017-11-11,353789,25657,1949,1226,False,False,Comedy,IN,2,Saturday,True
57,T00aGa1ihf8,2017-11-14,2017-11-11,265269,15488,272,655,False,False,Gaming,DE,12,Saturday,True
58,JFe_OFPYKQY,2017-11-14,2017-11-11,71272,309,38,66,False,False,News & Politics,IN,7,Saturday,True
59,7HTw1Jz5lcQ,2017-11-14,2017-11-11,103665,566,66,76,False,False,Film & Animation,IN,2,Saturday,True
60,FWoXtrLTUMs,2017-11-15,2017-11-12,315557,28738,468,968,False,False,Film & Animation,DE,3,Sunday,True
61,QbBNjjZthsg,2017-11-14,2017-11-12,294947,16263,294,1678,False,False,Entertainment,FR,7,Sunday,True
62,pvKs19lr69A,2017-11-14,2017-11-12,101010,1144,90,201,False,False,Entertainment,FR,25,Sunday,True
63,vxfDYCYvdMw,2017-11-14,2017-11-12,30848,0,0,65,False,True,People & Blogs,KR,2,Sunday,True
64,Tjo4s7AMpfM,2017-11-14,2017-11-12,45357,955,36,891,False,False,Science & Technology,KR,7,Sunday,True
65,Yx6FaFVw9NY,2017-11-14,2017-11-12,15107,1090,6,133,False,False,People & Blogs,IN,6,Sunday,True
66,MF9ovM9y0PE,2017-11-16,2017-11-12,321020,8992,82,431,False,False,Film & Animation,IN,1,Sunday,True
67,ondy6jke_SQ,2017-11-14,2017-11-12,43674,1556,79,322,False,False,Entertainment,FR,12,Sunday,True
68,QIAu8YQ83BE,2017-11-14,2017-11-12,238274,18408,716,881,False,False,Music,DE,5,Sunday,True
69,j9nCXKlZaSM,2017-11-14,2017-11-12,174130,4565,292,621,False,False,Entertainment,DE,33,Sunday,True
70,K6EZV-_Up34,2017-11-14,2017-11-12,203332,3391,139,1034,False,False,Entertainment,CA,8,Sunday,True
71,WRmrWLOtLGQ,2017-11-14,2017-11-12,109194,10498,112,478,False,False,Entertainment,DE,3,Sunday,True
72,N5Ss8TbYnec,2017-11-14,2017-11-12,166050,6820,188,157,False,False,People & Blogs,MX,8,Sunday,True
73,c0YARs-b5rc,2017-11-15,2017-11-12,204051,5715,2368,1561,False,False,Science & Technology,FR,7,Sunday,True
74,AXSPjgtmnuo,2017-11-14,2017-11-12,37034,1764,41,492,False,False,People & Blogs,DE,6,Sunday,True
75,redJOfQQlhg,2017-11-15,2017-11-12,178941,8814,321,198,False,False,Sports,FR,8,Sunday,True
76,3BF-iAMjciE,2017-11-14,2017-11-12,37616,17,0,5,False,False,News & Politics,IN,2,Sunday,True
77,YL211gvSyFM,2017-11-16,2017-11-12,364421,3597,223,680,False,False,People & Blogs,KR,5,Sunday,True
79,y6YY8-k9Cwg,2017-11-15,2017-11-12,132731,8309,120,837,False,False,Education,IN,13,Sunday,True
81,B16Ic88PyQc,2017-11-15,2017-11-12,121827,10873,133,1116,False,False,Entertainment,DE,11,Sunday,True
82,B5HORANmzHw,2017-11-15,2017-11-12,286577,9606,248,1196,False,False,Education,US,5,Sunday,True
83,Wg6a0chf3SI,2017-11-14,2017-11-12,112372,2984,83,328,False,False,Entertainment,DE,12,Sunday,True
84,skhu76iBvtU,2017-11-14,2017-11-12,211868,5610,853,912,False,False,Entertainment,CA,11,Sunday,True
85,RpEJCznFreQ,2017-11-15,2017-11-12,415981,25095,460,874,False,False,Howto & Style,FR,7,Sunday,True
86,ThLVteoxnSE,2017-11-14,2017-11-12,28992,1409,9,188,False,False,Sports,CA,9,Sunday,True
87,F9Fd3AUaOC4,2017-11-14,2017-11-12,68808,4664,99,760,False,False,Comedy,IN,7,Sunday,True
88,o4qUbIZn538,2017-11-14,2017-11-12,650469,17003,185,1102,False,False,Sports,CA,2,Sunday,True
89,k_IrAnVSjYE,2017-11-14,2017-11-13,9413,1522,39,21,False,False,People & Blogs,DE,6,Monday,False
90,bk55RbxiQdI,2017-11-18,2017-11-13,279736,2258,276,797,False,False,News & Politics,KR,2,Monday,False
91,teXaL6GdQRk,2017-11-17,2017-11-13,598162,34921,609,776,False,False,Comedy,FR,7,Monday,False
92,uXNIeQjav80,2017-11-27,2017-11-13,58605,1782,79,148,False,False,Entertainment,GB,7,Monday,False
93,Y8kD7G5xQJk,2017-11-14,2017-11-13,226795,1634,433,251,False,False,Entertainment,DE,21,Monday,False
94,PKBfGeMSTb4,2017-11-15,2017-11-13,295483,16902,301,1276,False,False,Autos & Vehicles,FR,11,Monday,False
95,zNqCVTs38nU,2017-11-18,2017-11-13,47760,132,77,41,False,False,Sports,US,1,Monday,False
96,KObFEYCaRx8,2017-11-18,2017-11-13,489274,1584,300,81,False,False,Entertainment,IN,2,Monday,False
97,RREkn9UvEBE,2017-11-14,2017-11-13,21814,9,46,0,True,False,People & Blogs,RU,41,Monday,False
99,VAWNQDgwwOM,2017-11-15,2017-11-13,854112,81243,1529,4234,False,False,Entertainment,RU,21,Monday,False
100,8_MFaKfSZUI,2017-11-14,2017-11-13,46645,5500,104,855,False,False,People & Blogs,MX,10,Monday,False
101,zxUwbflE1SY,2017-11-19,2017-11-13,225280,5770,150,1312,False,False,Entertainment,US,3,Monday,False
102,7gShaSuK_PY,2017-11-17,2017-11-13,292060,582,200,43,False,False,People & Blogs,IN,4,Monday,False
103,45Twdyv2CJo,2017-11-14,2017-11-13,32014,2806,115,189,False,False,People & Blogs,RU,10,Monday,False
104,mLFHz-aej9U,2017-11-15,2017-11-13,132345,1342,226,85,False,False,Comedy,RU,1,Monday,False
105,5zHIyadCwwE,2017-11-14,2017-11-13,153384,29321,750,1787,False,False,Science & Technology,IN,11,Monday,False
106,lRHS-n3iR4g,2017-11-14,2017-11-13,59454,3447,241,682,False,False,People & Blogs,FR,22,Monday,False
107,x0Dc7pUPkzE,2017-11-15,2017-11-13,78876,8775,223,1357,False,False,Science & Technology,IN,14,Monday,False
108,2KBTtnQyiis,2017-11-14,2017-11-13,50862,6634,19,150,False,False,Gaming,FR,7,Monday,False
110,iBFUo2SD5xA,2017-11-15,2017-11-13,49304,1177,9,69,False,False,People & Blogs,KR,1,Monday,False
111,Prb_osSVE0M,2017-11-14,2017-11-13,156085,716,53,0,True,False,News & Politics,IN,2,Monday,False
112,x-qhQespWm0,2017-11-14,2017-11-13,106497,7989,177,806,False,False,Music,MX,8,Monday,False
113,4tEqzEo5uKY,2017-11-15,2017-11-13,103430,1034,90,53,False,False,Howto & Style,IN,8,Monday,False
114,2guRr9fa0yM,2017-11-15,2017-11-13,170951,524,25,604,False,False,News & Politics,KR,1,Monday,False
115,TOOcXB_dzZQ,2017-11-15,2017-11-13,373583,15319,560,961,False,False,Music,FR,3,Monday,False
116,nNtrjfX2aGw,2017-11-16,2017-11-13,212887,23219,1357,4660,False,False,Howto & Style,DE,8,Monday,False
117,uOwd27Qy3Sw,2017-11-15,2017-11-13,63257,0,0,65,False,True,Entertainment,DE,102,Monday,False
118,pCzGf2FYn4E,2017-11-14,2017-11-13,8249,735,10,17,False,False,People & Blogs,MX,12,Monday,False
119,5EI57pXtBMY,2017-11-14,2017-11-13,75839,6602,51,187,False,False,Gaming,RU,8,Monday,False
120,cU2FFwy0eKI,2017-11-14,2017-11-13,14723,2059,24,208,False,False,Howto & Style,MX,13,Monday,False
121,_cYPL2kh81g,2017-11-16,2017-11-13,39214,43,22,75,False,False,Shows,KR,15,Monday,False
122,uew9Dex7Hu4,2017-11-14,2017-11-13,23345,2870,2494,688,False,False,News & Politics,RU,59,Monday,False
123,9EYAE-OEjfg,2017-11-14,2017-11-13,100607,8822,289,2673,False,False,Entertainment,DE,10,Monday,False
124,6PLQ5kuE1L4,2017-11-14,2017-11-13,112171,7662,182,317,False,False,Science & Technology,RU,10,Monday,False
125,FuJgxV9h_Zc,2017-11-14,2017-11-13,57030,4315,59,620,False,False,Education,FR,9,Monday,False
126,0yIWz1XEeyc,2017-11-14,2017-11-13,1309699,103761,4613,12143,False,False,News & Politics,MX,9,Monday,False
127,Wg2DYxo-Pow,2017-11-15,2017-11-13,980410,111762,1138,4920,False,False,Howto & Style,MX,8,Monday,False
128,3e_gvryr8r4,2017-11-15,2017-11-13,116314,3819,73,368,False,False,People & Blogs,CA,14,Monday,False
129,gjUSs3Jd4hM,2017-11-15,2017-11-13,38763,1150,21,252,False,False,People & Blogs,KR,6,Monday,False
130,s_kRjjlGCcQ,2017-11-14,2017-11-13,179904,9811,294,436,False,False,Gaming,MX,277,Monday,False
131,nEAMm3nGxpM,2017-11-15,2017-11-13,33780,313,20,55,False,False,Film & Animation,MX,1,Monday,False
132,YGA-zEWGAQ0,2017-11-14,2017-11-13,15737,730,114,56,False,False,Howto & Style,DE,3,Monday,False
133,dqmchgH9jwg,2017-11-14,2017-11-13,32873,1508,75,288,False,False,Gaming,DE,27,Monday,False
134,icKOIAc4rAA,2017-11-14,2017-11-13,4326,68,2,12,False,False,Entertainment,FR,52,Monday,False
135,Gmq88u0W81Y,2017-11-14,2017-11-13,285049,25939,446,987,False,False,Gaming,RU,9,Monday,False
136,17bOlbDNjmk,2017-11-14,2017-11-13,16812,2327,37,110,False,False,People & Blogs,MX,79,Monday,False
138,i-9MxEi5oWg,2017-11-15,2017-11-13,286273,1264,335,782,False,False,News & Politics,DE,16,Monday,False
139,NMioU5WLbaY,2017-11-15,2017-11-13,36980,70,17,6,False,False,Entertainment,IN,4,Monday,False
140,mVPmIny-gZY,2017-11-15,2017-11-13,18940,115,14,33,False,False,People & Blogs,KR,9,Monday,False
141,Liu7eGLQzak,2017-11-15,2017-11-14,51426,1855,85,297,False,False,Entertainment,DE,10,Tuesday,False
142,WzQrvFAPoII,2017-11-15,2017-11-14,115736,4186,530,1276,False,False,News & Politics,CA,21,Tuesday,False
144,0fIxRHp2Reo,2017-11-15,2017-11-14,49863,3549,488,897,False,False,Comedy,RU,25,Tuesday,False
145,G_op8NT8ZP8,2017-11-15,2017-11-14,31456,1767,58,94,False,False,News & Politics,KR,56,Tuesday,False
146,qDAxDcjgn-8,2017-11-20,2017-11-14,302837,11337,825,2660,False,False,Music,US,9,Tuesday,False
147,v5e4gwDGrNk,2017-11-15,2017-11-14,275726,13083,4637,3290,False,False,News & Politics,CA,9,Tuesday,False
148,H07iLrh13SQ,2017-11-16,2017-11-14,30333,869,25,48,False,False,Entertainment,FR,2,Tuesday,False
149,mbJ2wInVSyY,2017-11-16,2017-11-14,140526,134,580,56,False,False,People & Blogs,MX,1,Tuesday,False
150,UQ5M6AsmBUI,2017-11-16,2017-11-14,42652,4552,35,220,False,False,Music,IN,3,Tuesday,False
151,l8WRkRopW0c,2017-11-15,2017-11-14,4222,52,3,9,False,False,Education,DE,24,Tuesday,False
152,ApAAdA5pZzU,2017-11-15,2017-11-14,10002,881,23,101,False,False,Entertainment,MX,6,Tuesday,False
153,pI79uC-zYsY,2017-11-15,2017-11-14,25795,2883,21,207,False,False,People & Blogs,RU,12,Tuesday,False
154,Wk34UEHDgaY,2017-11-15,2017-11-14,10106,101,4,17,False,False,Autos & Vehicles,DE,5,Tuesday,False
155,NJMWETuxVic,2017-11-15,2017-11-14,39513,5519,48,366,False,False,Music,MX,5,Tuesday,False
156,YbWw3kVdsPs,2017-11-15,2017-11-14,184479,657,169,210,False,False,Entertainment,IN,43,Tuesday,False
157,KJ12FVmumeA,2017-11-16,2017-11-14,281868,1546,245,885,False,False,Sports,US,6,Tuesday,False
158,wcx2hMyeNKU,2017-11-15,2017-11-14,7222,870,20,19,False,False,People & Blogs,RU,5,Tuesday,False
159,_yfTrT0UkY8,2017-11-15,2017-11-14,616177,27172,2127,3213,False,False,Entertainment,RU,20,Tuesday,False
160,Lz_UfCYo3hQ,2017-11-16,2017-11-14,54963,2658,69,250,False,False,Gaming,DE,11,Tuesday,False
161,JcXrZ9dKCOI,2017-11-16,2017-11-14,32761,190,12,109,False,False,People & Blogs,KR,7,Tuesday,False
162,0UJ54iT4yIU,2017-11-16,2017-11-14,231961,5803,95,687,False,False,Entertainment,CA,8,Tuesday,False
163,Nr-EpdBWeCE,2017-11-15,2017-11-14,12870,15,1,7,False,False,People & Blogs,MX,1,Tuesday,False
164,ZqalFWPGVYY,2017-11-15,2017-11-14,3061,5,3,0,False,False,Entertainment,DE,1,Tuesday,False
165,1TUwj5r8MZQ,2017-11-15,2017-11-14,35755,667,34,79,False,False,News & Politics,MX,9,Tuesday,False
166,j06RTT1fUUQ,2017-11-16,2017-11-14,148144,620,110,109,False,False,Entertainment,DE,53,Tuesday,False
167,tpfLhpzXQRA,2017-11-17,2017-11-14,407924,11326,351,729,False,False,Entertainment,FR,3,Tuesday,False
168,8WQQbP5Xu04,2017-11-16,2017-11-14,61504,6855,76,416,False,False,Gaming,DE,13,Tuesday,False
169,0bCxv-ywJ58,2017-11-15,2017-11-14,40969,3754,10,376,False,False,Music,DE,53,Tuesday,False
170,ScHb-rczYbM,2017-11-28,2017-11-14,355384,2983,81,272,False,False,Sports,GB,9,Tuesday,False
171,9e-90Sz_iN0,2017-11-16,2017-11-14,447161,2791,286,410,False,False,Entertainment,IN,20,Tuesday,False
172,hYxAT-574tE,2017-11-15,2017-11-14,97800,6768,71,431,False,False,Travel & Events,MX,11,Tuesday,False
173,Nt6sVqhG8Oo,2017-11-15,2017-11-14,163926,1118,150,390,False,False,Entertainment,CA,79,Tuesday,False
174,7dRaNreoUGc,2017-11-15,2017-11-14,28794,2702,301,104,False,False,Music,RU,4,Tuesday,False
175,dUMH6DVYskc,2017-11-22,2017-11-14,2227708,11817,6285,3769,False,False,Science & Technology,US,1,Tuesday,False
176,m7cRGq35eK8,2017-11-15,2017-11-14,3873,585,8,9,False,False,Howto & Style,MX,1,Tuesday,False
177,Ax1P5Q8Kr9g,2017-11-15,2017-11-14,971117,50402,1526,10834,False,False,Entertainment,MX,19,Tuesday,False
178,AlrbKKGIcjI,2017-11-15,2017-11-14,591632,3231,1327,1030,False,False,Shows,IN,20,Tuesday,False
179,BCPFG0GLghA,2017-11-16,2017-11-14,40089,222,72,0,True,False,People & Blogs,IN,3,Tuesday,False
180,y5TM_K-ldDs,2017-11-17,2017-11-14,183640,2986,131,54,False,False,Entertainment,IN,2,Tuesday,False
183,QzQNUYbO-nI,2017-11-16,2017-11-14,98274,700,64,58,False,False,Entertainment,IN,1,Tuesday,False
184,j_ACW9yAva0,2017-11-17,2017-11-14,394231,3074,209,668,False,False,People & Blogs,DE,128,Tuesday,False
185,_EuW3ClJ19A,2017-11-18,2017-11-14,1611877,27286,1482,1112,False,False,Music,CA,3,Tuesday,False
187,_P13_8HyzcM,2017-11-16,2017-11-14,131380,2606,146,279,False,False,Sports,DE,2,Tuesday,False
188,6TAUjQerS5M,2017-11-16,2017-11-14,229341,1547,1137,484,False,False,Entertainment,MX,21,Tuesday,False
189,Rj5KdNAdeF4,2017-11-16,2017-11-15,54784,2287,683,1618,False,False,Entertainment,KR,26,Wednesday,False
190,TvUI233eaSg,2017-11-18,2017-11-15,248072,22473,814,1831,False,False,People & Blogs,DE,12,Wednesday,False
191,ENr6CXm1YxU,2017-11-20,2017-11-15,90268,2215,91,94,False,False,Music,US,3,Wednesday,False
192,C4YNcqNF4hg,2017-11-19,2017-11-15,484287,7792,150,342,False,False,Comedy,US,5,Wednesday,False
193,gH777GgPKFY,2017-11-16,2017-11-15,3710,0,0,0,True,True,News & Politics,MX,2,Wednesday,False
194,aiS56O2_xzE,2017-11-17,2017-11-15,136034,8565,528,2337,False,False,Entertainment,DE,7,Wednesday,False
195,b2s2vegP1Eo,2017-11-16,2017-11-15,3832,34,0,2,False,False,News & Politics,MX,1,Wednesday,False
197,lTshJ-2GVKM,2017-11-18,2017-11-15,32438,116,149,50,False,False,Entertainment,CA,1,Wednesday,False
198,XHkAjUVoQME,2017-11-28,2017-11-15,270597,3747,77,244,False,False,People & Blogs,US,2,Wednesday,False
199,SWhiCo-NEVE,2017-11-17,2017-11-15,10355,230,2,6,False,False,Entertainment,FR,2,Wednesday,False
201,EX2IjrBz6vs,2017-11-16,2017-11-15,9389,754,21,139,False,False,People & Blogs,RU,32,Wednesday,False
202,8-Cjsnq8kVU,2017-11-23,2017-11-15,12382809,328876,7238,14836,False,False,Film & Animation,US,2,Wednesday,False
203,rBpMYATttsI,2017-11-16,2017-11-15,612112,44648,787,4014,False,False,Comedy,CA,9,Wednesday,False
204,Q46x_mrDod0,2017-11-18,2017-11-15,83685,495,15,48,False,False,Entertainment,KR,1,Wednesday,False
205,xIODir3Rz9s,2017-11-19,2017-11-15,139619,974,525,787,False,False,News & Politics,IN,5,Wednesday,False
206,5khTN_EnAlY,2017-11-17,2017-11-15,68193,0,0,428,False,True,Howto & Style,CA,12,Wednesday,False
207,hW0iRpvZ88E,2017-11-16,2017-11-15,20838,3047,32,381,False,False,Howto & Style,MX,11,Wednesday,False
208,IX2LY-yyVJw,2017-11-16,2017-11-15,42338,3674,32,356,False,False,Howto & Style,FR,7,Wednesday,False
209,MaR_mrHmo7Q,2017-11-17,2017-11-15,106452,989,52,30,False,False,Entertainment,IN,2,Wednesday,False
210,6epjkX1sr2M,2017-11-20,2017-11-15,179201,5586,192,383,False,False,Howto & Style,GB,15,Wednesday,False
211,sFPMwHgjH2A,2017-11-17,2017-11-15,87855,2800,666,943,False,False,People & Blogs,RU,19,Wednesday,False
212,Sk5TFr-HOyE,2017-11-16,2017-11-15,61215,2424,26,208,False,False,Howto & Style,CA,7,Wednesday,False
213,CweLhvhnPYM,2017-11-17,2017-11-15,84517,1465,49,210,False,False,Entertainment,DE,21,Wednesday,False
214,daSu5agYchQ,2017-11-20,2017-11-15,736165,4648,502,348,False,False,People & Blogs,IN,10,Wednesday,False
215,JByixoJQh9Q,2017-11-16,2017-11-15,99132,696,42,76,False,False,Comedy,RU,49,Wednesday,False
216,cIeX45M0gKg,2017-11-18,2017-11-15,43434,2042,34,200,False,False,News & Politics,KR,30,Wednesday,False
217,EfFG6SZxuJU,2017-11-17,2017-11-15,31138,1308,51,394,False,False,Entertainment,DE,12,Wednesday,False
218,hFUdOh165gQ,2017-11-16,2017-11-15,8003,597,15,143,False,False,People & Blogs,RU,15,Wednesday,False
219,D8rdHQKKOt0,2017-11-16,2017-11-15,21671,2334,10,215,False,False,Pets & Animals,RU,3,Wednesday,False
220,hBbtI0BH9wU,2017-11-20,2017-11-15,2259727,52796,2091,7733,False,False,Music,CA,7,Wednesday,False
221,vZzIS17HexE,2017-11-20,2017-11-15,42451,399,114,63,False,False,Entertainment,US,4,Wednesday,False
222,4rLHNsOXVDo,2017-11-16,2017-11-15,26048,121,6,11,False,False,Entertainment,MX,3,Wednesday,False
223,Xfy6b_7Y82c,2017-11-17,2017-11-15,26062,66,16,20,False,False,News & Politics,DE,1,Wednesday,False
224,IKuKZIISPE0,2017-11-17,2017-11-15,69199,4237,15,220,False,False,Entertainment,US,2,Wednesday,False
225,RZ54XSb_4oU,2017-11-17,2017-11-15,173003,912,154,56,False,False,Entertainment,IN,20,Wednesday,False
226,jo0AAO1Hksg,2017-11-16,2017-11-15,65298,168,31,60,False,False,Entertainment,KR,4,Wednesday,False
227,NLa0tSC7xQM,2017-11-18,2017-11-15,619797,34583,752,1473,False,False,Comedy,FR,10,Wednesday,False
228,4rvI7I15U_0,2017-11-16,2017-11-15,5227,11,5,3,False,False,Entertainment,FR,18,Wednesday,False
229,kepIALKQZVo,2017-11-16,2017-11-15,12175,1022,9,170,False,False,Pets & Animals,FR,14,Wednesday,False
230,7dlsBmPbpis,2017-11-17,2017-11-15,85166,3386,97,238,False,False,Howto & Style,DE,8,Wednesday,False
231,QEdStYS-quU,2017-11-16,2017-11-15,181498,5937,1315,939,False,False,People & Blogs,RU,15,Wednesday,False
232,r--yffbacS4,2017-11-18,2017-11-15,196967,135,160,17,False,False,Entertainment,IN,1,Wednesday,False
233,FHl0nIdbiLA,2017-11-19,2017-11-15,800306,23559,3133,2977,False,False,Comedy,US,5,Wednesday,False
234,rmggvynjOfw,2017-11-17,2017-11-15,87128,6860,119,281,False,False,Gaming,FR,8,Wednesday,False
235,eQVhAN7-IAw,2017-11-22,2017-11-15,852543,44619,674,2609,False,False,Music,US,4,Wednesday,False
236,JBAvEtOfRio,2017-11-20,2017-11-15,177280,0,0,756,False,True,Entertainment,KR,8,Wednesday,False
237,OpzNqDgY5yA,2017-11-16,2017-11-15,14902,141,41,25,False,False,Science & Technology,RU,24,Wednesday,False
238,orJSLEozBtE,2017-11-17,2017-11-15,172013,25380,195,2849,False,False,Gaming,FR,6,Wednesday,False
239,vDsDg7iuT-A,2017-11-16,2017-11-15,52086,726,31,70,False,False,News & Politics,MX,12,Wednesday,False
240,nWsQHn_sAP0,2017-11-18,2017-11-15,872007,1200,167,574,False,False,News & Politics,KR,2,Wednesday,False
241,4_geUW08phI,2017-11-18,2017-11-16,329733,726,33,159,False,False,People & Blogs,CA,1,Thursday,False
242,HR9FA_dWKvs,2017-11-17,2017-11-16,80317,4285,121,334,False,False,Autos & Vehicles,RU,15,Thursday,False
243,mQOLHD21QlI,2017-11-17,2017-11-16,290820,29236,457,1524,False,False,Film & Animation,RU,10,Thursday,False
244,PHWAZNkqwN4,2017-11-22,2017-11-16,360539,16470,640,1515,False,False,Music,US,5,Thursday,False
245,dfMwWbyCxLk,2017-11-18,2017-11-16,174536,384,115,68,False,False,Entertainment,IN,22,Thursday,False
246,sm_yZEV5WC0,2017-11-18,2017-11-16,28239,1215,39,359,False,False,News & Politics,FR,48,Thursday,False
247,MDEI_e0ibzs,2017-11-17,2017-11-16,2530,0,0,0,True,True,Sports,FR,17,Thursday,False
249,nrUEm1opPzo,2017-11-17,2017-11-16,25819,3381,37,1212,False,False,Sports,RU,26,Thursday,False
250,vE38YIJ1O0g,2017-11-17,2017-11-16,5476,289,10,52,False,False,Science & Technology,DE,10,Thursday,False
251,ToL4iNV8zkw,2017-11-19,2017-11-16,102802,6074,86,463,False,False,Entertainment,DE,4,Thursday,False
252,KOUxLhYVgGw,2017-11-17,2017-11-16,6582,174,8,22,False,False,Howto & Style,US,1,Thursday,False
253,R6DKdXEuBz8,2017-11-17,2017-11-16,259829,3597,103,452,False,False,People & Blogs,DE,1,Thursday,False
254,dFFP6y73lAE,2017-11-20,2017-11-16,79665,462,47,263,False,False,People & Blogs,KR,7,Thursday,False
255,39mivDbyWe8,2017-11-19,2017-11-16,49650,704,64,30,False,False,Entertainment,DE,2,Thursday,False
256,7Q59auc8ctE,2017-11-17,2017-11-16,554732,15250,325,2055,False,False,Film & Animation,MX,18,Thursday,False
